attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13670,Authentication,1778292001.881156000,-6,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,0,0,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13671,Authentication,1778292001.888035000,-49,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful Authentication to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13672,Association Request,1778292001.903404000,-5,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13673,Association Response,1778292001.910999000,-45,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful association to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13989,Authentication,1778292025.110673000,-5,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,0,0,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13992,Authentication,1778292025.140859000,-47,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful Authentication to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13993,Association Request,1778292025.147334000,-4,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13994,Association Response,1778292025.155606000,-47,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful association to Trusted AP
